0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:01 +0530] "POST /project_frontend/confirm2 HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:01 +0530] "POST /project_frontend/confirm2 HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:01 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:01 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/getallproducts HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/1.png HTTP/1.1" 200 39935
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/2.png HTTP/1.1" 200 104615
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/65.png HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/97.png HTTP/1.1" 200 80130
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/105.png HTTP/1.1" 200 18916
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/104.png HTTP/1.1" 200 515948
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/109.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/99.png HTTP/1.1" 200 56033
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/108.png HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/107.png HTTP/1.1" 200 554989
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/100.png HTTP/1.1" 200 8737
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/98.png HTTP/1.1" 200 39480
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:13 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:17 +0530] "GET /project_frontend/viewproduct1 HTTP/1.1" 200 6871
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:17 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:17 +0530] "GET /project_frontend/resources/images/1.png HTTP/1.1" 200 39935
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:17 +0530] "GET /project_frontend/resources/images/whitebackground.jpg HTTP/1.1" 200 257382
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/searchbycategory?searchCondition=under%2015000 HTTP/1.1" 200 11023
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/lg-g6.jpg HTTP/1.1" 200 43787
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/1.png HTTP/1.1" 200 39935
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/2.png HTTP/1.1" 200 104615
0:0:0:0:0:0:0:1 - - [25/Sep/2017:16:10:35 +0530] "GET /project_frontend/resources/images/65.png HTTP/1.1" 200 43787
